날짜/시간,걸음 수 (걸음)
2025-12-15 0:00,3975
2025-12-16 0:00,6024
2025-12-17 0:00,3047
2025-12-18 0:00,7310
2025-12-19 0:00,7295
2025-12-20 0:00,4884
2025-12-21 0:00,6713
2025-12-22 0:00,364
2025-12-23 0:00,4745
2025-12-24 0:00,1515
2025-12-25 0:00,10616
2025-12-26 0:00,230
2025-12-27 0:00,200
2025-12-28 0:00,6110
2025-12-29 0:00,58
2025-12-30 0:00,234
2025-12-31 0:00,638
2026-01-01 0:00,455
2026-01-02 0:00,193
2026-01-03 0:00,2540
2026-01-04 0:00,4931
2026-01-05 0:00,122
2026-01-06 0:00,1563
2026-01-07 0:00,116
2026-01-08 0:00,1527
2026-01-09 0:00,2529
2026-01-10 0:00,2967
2026-01-11 0:00,6219
2026-01-12 0:00,222
2026-01-13 0:00,123
2026-01-14 0:00,7564
2026-01-15 0:00,3975
2026-01-16 0:00,5368
2026-01-17 0:00,6800
2026-01-18 0:00,5213
2026-01-19 0:00,2208
2026-01-20 0:00,5526
2026-01-21 0:00,148
2026-01-22 0:00,2550
2026-01-23 0:00,133
2026-01-24 0:00,7370
2026-01-25 0:00,10782
2026-01-26 0:00,12056
2026-01-27 0:00,14803
2026-01-28 0:00,20218
2026-01-29 0:00,11042
2026-01-30 0:00,3280
2026-01-31 0:00,2613
2026-02-01 0:00,4690
2026-02-02 0:00,10884
2026-02-03 0:00,13403
2026-02-04 0:00,6462
2026-02-05 0:00,6838
2026-02-06 0:00,3074
2026-02-07 0:00,6750
2026-02-08 0:00,7501
2026-02-09 0:00,209
2026-02-10 0:00,270
2026-02-11 0:00,2314
2026-02-12 0:00,1401
2026-02-13 0:00,1304
2026-02-14 0:00,6373
2026-02-15 0:00,1285
2026-02-16 0:00,3022
2026-02-17 0:00,294
2026-02-18 0:00,328
2026-02-19 0:00,5826
2026-02-20 0:00,10867
2026-02-21 0:00,7264
2026-02-22 0:00,11019
2026-02-23 0:00,6751
2026-02-24 0:00,5094
2026-02-25 0:00,3538
2026-02-26 0:00,8573
2026-02-27 0:00,2752
2026-02-28 0:00,2793
2026-03-01 0:00,5472
2026-03-02 0:00,172
2026-03-03 0:00,6876
2026-03-04 0:00,9035
2026-03-05 0:00,7348
2026-03-06 0:00,5717
2026-03-07 0:00,7392
2026-03-08 0:00,8628
2026-03-09 0:00,5889
2026-03-10 0:00,7402
2026-03-11 0:00,9644
2026-03-12 0:00,12044
2026-03-13 0:00,3943
2026-03-14 0:00,147
2026-03-15 0:00,4859
2026-03-16 0:00,5336
2026-03-17 0:00,5690
2026-03-18 0:00,9645
2026-03-19 0:00,4848
2026-03-20 0:00,1580
2026-03-21 0:00,55
2026-03-22 0:00,10025
2026-03-23 0:00,3612
2026-03-24 0:00,7735
2026-03-25 0:00,6516
2026-03-26 0:00,4969
2026-03-27 0:00,4445
2026-03-28 0:00,6659
2026-03-29 0:00,6969
2026-03-30 0:00,5278
2026-03-31 0:00,6577
2026-04-01 0:00,7450
2026-04-02 0:00,6340
2026-04-03 0:00,324.84
2026-04-04 0:00,213
2026-04-05 0:00,4221
